goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.03319264575839043,90,DC,Rennes,Toulouse,0,2,2024-11-10,28138,2024,687511,0,0,0,0,0.03319264575839043,0.24498671293258667,0.24498671293258667
0,2,0.09993930906057358,90,DC,Toulouse,Reims,1,0,2024-11-03,28132,2024,685642,0,0,0,0,0.09993930906057358,0.4167524576187134,0.362581729888916
0,1,0.15916524827480316,90,DC,Montpellier,Toulouse,0,3,2024-10-27,28124,2024,683803,0,0,0,0,0.15916524827480316,0.6001856327056885,0.6001856327056885
0,1,0.03201446682214737,90,DC,Toulouse,Angers,1,1,2024-10-20,28114,2024,682096,0,0,0,0,0.03201446682214737,0.35838583111763,0.35838583111763
0,1,0.07574696838855743,12,Sub,Lille,Toulouse,2,1,2024-10-05,28106,2024,679881,0,0,0,0,0.07574696838855743,0,0
0,1,0.5982701182365417,85,DC,Brest,Toulouse,2,0,2024-09-22,28087,2024,676475,0,0,0,0,0.5982701182365417,0,0
0,0,0,7,Sub,Toulouse,Le Havre,2,0,2024-09-15,28082,2024,674564,0,0,0,0,0,0.047149620950222015,0.047149620950222015
0,0,0,67,DC,Toulouse,Marseille,1,3,2024-08-31,28069,2024,672307,0,0,0,0,0,0,0
0,1,0.020607534795999527,90,DC,Nice,Toulouse,1,1,2024-08-25,28062,2024,668874,0,0,0,0,0.020607534795999527,0.14583814144134521,0.14583814144134521
0,2,0.10606472939252853,90,DC,Toulouse,Nantes,0,0,2024-08-18,28054,2024,666918,0.1347714066505432,0,1,0,0.10606472939252853,0.1347714066505432,0
0,1,0.06303489953279495,37,Sub,Wolverhampton Wanderers,Leeds,2,3,2022-03-18,16675,2021,520957,0,0,0,0,0.06303489953279495,0.26738500595092773,0.26738500595092773
0,0,0,1,Sub,Chelsea,Leeds,3,2,2021-12-11,16530,2021,501695,0,0,0,0,0,0,0
0,0,0,1,Sub,Leeds,Crystal Palace,1,0,2021-11-30,16508,2021,498742,0,0,0,0,0,0,0
0,0,0,1,Sub,Leeds,Leicester,1,1,2021-11-07,16482,2021,494625,0,0,0,0,0,0,0
0,0,0,90,DC,Leeds,West Ham,1,2,2021-09-25,16429,2021,484730,0,0,0,0,0,0.02383420057594776,0.02383420057594776
