first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Fábio,Ferreira Vieira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID
Gabriel,Fernando de Jesus,0,0,5,112,2,33.0,17.0,60.0,0,27,10.9,0,0,3,0.9,68,FWD
Gabriel,dos Santos Magalhães,2,0,43,863,10,38.4,220.8,170.0,4,152,42.9,3,0,1,22.7,62,DEF
Kai,Havertz,4,1,45,900,11,112.4,217.2,353.0,7,167,68.3,3,0,1,15.1,81,FWD
Karl,Hein,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Jurriën,Timber,0,1,22,593,6,111.6,102.0,34.0,0,86,24.6,2,0,3,1.4,55,DEF
Jorge Luiz,Frello Filho,0,0,4,154,1,21.3,4.4,1.0,0,16,2.7,1,0,2,0.2,48,MID
Jakub,Kiwior,0,0,3,96,4,1.0,16.2,0.0,0,-3,1.7,0,0,0,0.2,48,DEF
Gabriel,Martinelli Silva,2,2,39,608,8,166.1,164.6,203.0,3,135,53.3,3,0,0,3.9,70,MID
Ethan,Nwaneri,0,0,5,52,0,12.6,15.4,17.0,0,18,4.6,0,0,0,0.3,45,MID
Martin,Ødegaard,0,0,7,253,1,75.0,34.4,60.0,0,29,17.0,2,0,1,3.2,82,MID
David,Raya Martin,0,0,40,900,11,0.0,244.0,0.0,6,137,24.5,3,0,2,30.0,56,GK
Declan,Rice,0,1,17,762,11,182.9,129.2,73.0,0,111,37.9,2,1,2,2.9,63,MID
Bukayo,Saka,3,7,65,740,8,379.8,329.2,365.0,10,272,107.3,3,0,1,25.2,101,MID
William,Saliba,0,0,21,749,9,9.7,119.4,4.0,0,104,13.4,3,1,2,22.9,60,DEF
Thomas,Partey,1,0,29,882,11,103.5,168.6,29.0,3,165,30.3,3,0,2,1.1,50,MID
