name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Aaron Cresswell,DEF,West Ham,0.2,0,0,0,0,0.0,517,0.00,0.00,0.00,0.00,97,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,16,0,0,0,0,10,0,177997,0,0,3,0.0,0,-4441,3328,7769,40,False,0
Aaron Hickey,DEF,Brentford,0.0,0,0,0,0,0.0,93,0.00,0.00,0.00,0.00,92,0,0,0.0,0.0,2024-11-04T20:00:00Z,0,9,0,0,0,0,10,0,1443,0,,,0.0,0,-52,23,75,44,False,0
Aaron Ramsdale,GK,Southampton,3.0,0,0,34,1,0.0,14,0.00,0.00,0.00,1.47,98,0,0,0.0,0.0,2024-11-02T15:00:00Z,90,8,0,0,0,0,10,5,228937,1,0,1,0.0,7,-12,7559,7571,44,True,0
Aaron Wan-Bissaka,DEF,West Ham,1.2,0,0,4,0,0.0,388,0.03,0.03,0.00,2.08,97,3,0,0.0,0.0,2024-11-02T15:00:00Z,90,16,0,0,0,0,10,0,174690,1,0,3,0.0,1,-497,6914,7411,44,False,0
Abdoulaye Doucouré,MID,Everton,1.9,0,0,0,0,0.0,217,0.00,0.00,0.00,0.00,98,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,17,0,0,0,0,10,0,24264,0,0,1,0.0,0,-1145,1445,2590,52,False,0
Abdul Fatawu,MID,Leicester,1.7,0,0,11,0,0.0,570,0.63,0.69,0.06,0.99,93,1,0,0.0,0.0,2024-11-02T15:00:00Z,90,10,0,0,0,0,10,0,39359,1,1,1,0.0,2,-2399,1930,4329,54,False,0
Adama Traoré,MID,Fulham,1.8,0,0,0,0,0.0,239,0.00,0.00,0.00,0.00,92,0,0,0.0,0.0,2024-11-04T20:00:00Z,0,4,0,0,0,0,10,0,392531,0,,,0.0,0,-5136,31046,36182,51,True,0
Adam Armstrong,FWD,Southampton,1.3,0,0,35,1,0.0,453,0.07,0.31,0.24,1.47,98,0,1,0.0,0.0,2024-11-02T15:00:00Z,90,8,0,0,0,0,10,0,60314,1,0,1,0.0,6,-5209,2026,7235,51,True,0
Adam Lallana,MID,Southampton,-0.3,0,0,4,0,0.0,463,0.01,0.01,0.00,0.24,98,0,0,0.0,0.0,2024-11-02T15:00:00Z,45,8,0,0,0,0,10,0,3378,1,0,1,0.0,1,-60,207,267,50,True,0
Adam Smith,DEF,Bournemouth,0.5,0,0,7,0,0.0,81,0.01,0.51,0.50,1.80,91,1,0,0.0,0.0,2024-11-02T15:00:00Z,90,13,0,0,0,0,10,0,20339,1,1,2,0.0,2,-995,514,1509,45,True,0
Adam Webster,DEF,Brighton,0.0,0,0,0,0,0.0,147,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2024-11-02T15:00:00Z,0,12,0,0,0,0,10,0,7741,0,1,2,0.0,0,-634,29,663,43,False,0
Adam Wharton,MID,Crystal Palace,0.0,0,0,0,0,0.0,216,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2024-11-02T17:30:00Z,0,20,0,0,0,0,10,0,28429,0,2,2,0.0,0,-2003,1144,3147,48,False,0
