assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,0,438098,None,,0,0,-1,1,0.0,655,298,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Fábio,0.0,643,289,0,0,0,0.0,656,298,1,False,0.0,656,298,0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,2024-08-29T11:06:25.241953Z,54,137,82,0,0,None,0,,438098.jpg,0.0,655,298,0,None,0,0,Ferreira Vieira,0.0,624,276,False,None,0,0,u,1,3,0.0,652,296,0,439,0,2697,2,0.0,0.0,Fábio Vieira,0
0,0,27,100,100,0,0.0,205651,None,,0,0,-2,2,33.0,243,26,None,,0,4,1.3,1.8,1,0.07,0.06,0.74,0.6,0.67,1.50,1.21,0.54,Gabriel,0.8,288,36,2,1.61,0,10.9,284,32,2,False,17.0,351,33,112,,2024-08-25T11:00:05.312580Z,68,32,14,0,0,None,0,,205651.jpg,0.6,436,45,0,30,0,0.0,Fernando de Jesus,0.9,210,36,False,None,1,0.8,a,1,3,60.0,146,28,5,54312,114,212828,323,0.1,0.7,G.Jesus,3
0,4,152,100,75,3,0.31,226597,None,,0,0,2,-2,38.4,230,64,None,,1,2,2.0,1.9,2,0.25,0.03,1.74,0.19,1.49,10.41,1.09,0.16,Gabriel,1.5,215,61,10,1.04,2,42.9,57,9,3,False,220.8,34,11,863,,2024-10-27T22:00:05.718030Z,62,68,4,0,0,None,0,,226597.jpg,4.3,37,6,0,30,0,0.0,dos Santos Magalhães,22.7,14,5,False,None,10,1.04,a,1,3,170.0,41,1,43,2113667,3134,1204488,12227,0.2,6.9,Gabriel,1
1,7,167,100,100,3,0.3,219847,None,,0,0,1,-1,112.4,97,4,None,,1,4,3.7,4.2,1,1.10,0.11,5.60,0.56,4.50,10.87,1.09,0.45,Kai,3.2,65,16,11,1.1,4,68.3,14,5,4,False,217.2,36,6,900,,2024-10-07T17:00:06.956493Z,81,12,4,0,0,3,0,,219847.jpg,4.5,31,11,0,80,0,0.0,Havertz,15.1,23,6,False,None,10,1.0,a,1,3,353.0,4,2,45,1965314,1362,1898760,21738,0.4,5.6,Havertz,1
0,0,0,0,0,0,0,463748,None,,0,0,0,0,0.0,466,35,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Karl,0.0,421,49,0,0,0,0.0,482,53,5,False,0.0,479,53,0,Loaned to Real Valladolid,2024-08-14T08:31:46.556082Z,40,628,65,0,0,None,0,,463748.jpg,0.0,487,53,0,None,0,0,Hein,0.0,544,66,False,None,0,0,u,1,3,0.0,422,27,0,0,0,3514,7,0.0,0.0,Hein,0
1,0,86,100,100,2,0.3,445122,None,,0,0,0,0,111.6,99,21,None,,0,2,1.3,1.8,1,0.30,0.05,0.61,0.1,0.31,6.64,1.01,0.05,Jurriën,0.8,280,87,6,0.91,0,24.6,167,45,6,False,102.0,181,73,593,,2024-10-04T13:30:05.569185Z,55,121,13,0,0,None,0,,445122.jpg,2.8,144,43,0,152,0,0.0,Timber,1.4,179,67,False,None,7,1.06,a,1,3,34.0,211,57,22,229699,962,198754,720,0.1,4.0,J.Timber,3
0,0,16,None,None,1,0.58,85955,None,,0,0,-2,2,21.3,276,162,None,,0,3,1.0,1.5,0,0.15,0.09,0.19,0.11,0.04,1.27,0.74,0.02,Jorge Luiz,0.5,306,146,1,0.58,0,2.7,375,185,7,False,4.4,402,196,154,,None,48,295,196,0,0,None,0,,85955.jpg,1.3,309,148,0,106,0,0.0,Frello Filho,0.2,333,115,False,None,2,1.17,a,1,3,1.0,370,204,4,18747,24,32486,119,0.1,0.8,Jorginho,2
0,0,-3,None,None,0,0.0,440854,None,,0,0,-2,2,1.0,388,134,None,,0,2,1.0,1.5,0,0.00,0.0,0.00,0.0,0.00,3.17,2.97,0.0,Jakub,0.5,308,103,4,3.75,0,1.7,396,132,8,False,16.2,356,127,96,,None,48,317,37,0,0,None,0,,440854.jpg,0.8,420,140,0,172,0,0.0,Kiwior,0.2,396,144,False,None,0,0.0,a,1,3,0.0,603,215,3,7691,46,15966,86,0.1,0.6,Kiwior,0
2,3,135,100,100,3,0.44,444145,None,,0,0,0,0,166.1,46,39,None,,1,3,3.3,3.8,2,1.85,0.27,3.38,0.5,1.53,7.38,1.09,0.23,Gabriel,2.8,96,38,8,1.18,2,53.3,36,26,9,False,164.6,76,25,608,,2024-10-18T16:00:06.884775Z,70,26,15,0,0,None,0,,444145.jpg,3.9,56,23,0,30,0,0.0,Martinelli Silva,3.9,92,26,False,None,7,1.04,a,1,3,203.0,32,19,39,504415,1213,427202,4483,0.4,5.6,Martinelli,0
0,0,18,None,None,0,0.0,499175,None,,0,0,0,0,12.6,313,181,None,,0,3,1.3,1.8,1,0.17,0.29,0.22,0.38,0.05,0.32,0.55,0.09,Ethan,0.8,263,126,0,0.0,0,4.6,347,173,12,False,15.4,360,170,52,,None,45,433,262,0,0,None,0,,499175.jpg,1.0,362,170,0,241,0,0.0,Nwaneri,0.3,303,101,False,None,0,0.0,a,1,3,17.0,263,149,5,37700,324,29453,172,0.2,1.1,Nwaneri,0
